XP_046656324.1	PTHR46455:SF5	SET AND MYND DOMAIN CONTAINING, ARTHROPOD-SPECIFIC, MEMBER 4, ISOFORM A	5.2e-213	708.7	2-531
XP_046639947.1	PTHR11929:SF232	ALPHA-(1,3)-FUCOSYLTRANSFERASE FUT-1	3.6e-127	425.2	3-282
XP_046653047.1	PTHR14215:SF0	SUBFAMILY NOT NAMED	4.5e-75	254.1	5-432
XP_046654480.1	PTHR24240:SF85	OPSIN RH1-RELATED	6.9e-185	616.0	22-404
XP_046657737.1	PTHR24260:SF139	CLIP DOMAIN-CONTAINING SERINE PROTEASE	5.6e-69	234.0	58-319
XP_046631635.1	PTHR18884:SF67	SEPTIN-2	5e-186	618.6	6-365
XP_046656261.1	PTHR15633:SF2	NUCLEOLAR PROTEIN 11	5.2e-120	402.5	1-571
XP_046642644.1	PTHR11071:SF514	PEPTIDYL-PROLYL CIS-TRANS ISOMERASE CYP95	1.4e-07	31.7	4-58
XP_046640246.1	PTHR12442:SF5	DYNEIN AXONEMAL INTERMEDIATE CHAIN 3	5.6e-91	306.7	48-610
XP_046656690.1	PTHR11785	AMINO ACID TRANSPORTER	4.5e-88	296.6	57-312
XP_046640336.1	PTHR10514	ANGIOTENSIN-CONVERTING ENZYME	0	1712.9	12-1251
XP_046647543.1	PTHR12112:SF14	PROTEIN PRUNE HOMOLOG 2-LIKE PROTEIN	6.8e-125	418.9	106-673
XP_046648487.1	PTHR45624:SF10	MITOCHONDRIAL BASIC AMINO ACIDS TRANSPORTER	5.1e-86	289.0	3-303
XP_046644406.1	PTHR47969:SF21	KINESIN-LIKE PROTEIN	5.5e-207	690.8	5-634
XP_046635924.1	PTHR31350:SF21	F-BOX ONLY PROTEIN 21	4.6e-60	204.4	23-525
XP_046647982.1	PTHR18945:SF908	HISTAMINE-GATED CHLORIDE CHANNEL SUBUNIT 1	5.2e-237	787.3	398-799
XP_046633017.1	PTHR13135	CYTOSOLIC RESINIFERATOXIN BINDING PROTEIN RBP-26	8.3e-58	197.1	5-397
XP_046644525.1	PTHR10174:SF130	SD01558P	1.4e-79	268.6	8-233
XP_046633930.1	PTHR46135	NME/NM23 FAMILY MEMBER 8	1e-53	183.5	1-228
XP_046634870.1	PTHR23163:SF4	E3 UBIQUITIN-PROTEIN LIGASE BRE1B	6.7e-296	984.9	20-959
XP_046647112.1	PTHR12411:SF55	CATHEPSIN K	1.5e-69	235.2	8-323
XP_046647315.1	PTHR12764:SF5	WD REPEAT-CONTAINING PROTEIN 55 HOMOLOG	1.2e-50	172.8	1-124
XP_046635497.1	PTHR23319:SF4	AT22714P-RELATED	1.4e-122	411.2	38-964
XP_046641511.1	PTHR21719	UNCHARACTERIZED	7.1e-29	101.7	25-133
XP_046643822.1	PTHR10627:SF34	VIGILIN	0	1432.8	65-1258
XP_046651729.1	PTHR48043:SF145	EG:EG0003.4 PROTEIN-RELATED	4.6e-101	340.0	39-434
XP_046631852.1	PTHR47958:SF96	ATP-DEPENDENT RNA HELICASE DDX23-RELATED	4.7e-111	373.1	2-232
XP_046654664.1	PTHR22955:SF69	INTEGRASE CATALYTIC DOMAIN-CONTAINING PROTEIN	1e-169	567.8	485-2125
XP_046651106.1	PTHR42643:SF24	IONOTROPIC RECEPTOR 20A-RELATED	9.8e-98	328.4	56-483
XP_046633531.1	PTHR11006:SF51	HISTONE-ARGININE METHYLTRANSFERASE CARM1	4e-212	706.4	5-482
XP_046637437.1	PTHR15664:SF22	TRANSMEMBRANE PROTEIN 230	3.4e-38	130.8	18-123
XP_046634780.1	PTHR45813:SF8	SUBFAMILY NOT NAMED	0	1446.2	162-1465
XP_046644042.1	PTHR31193	TRANSMEMBRANE PROTEIN C9ORF91	1.9e-106	356.9	18-417
XP_046649479.1	PTHR24042:SF5	PROTEIN KINASE C-BINDING PROTEIN NELL1-LIKE PROTEIN	8.5e-298	991.0	81-949
XP_046641910.1	PTHR11610:SF173	LIPASE DOMAIN-CONTAINING PROTEIN-RELATED	1.3e-107	360.5	71-415
XP_046636254.1	PTHR10380	CUTICLE PROTEIN	1.7e-35	123.7	1-125
XP_046652546.1	PTHR23044:SF61	3'-5' EXORIBONUCLEASE 1	2.8e-80	271.1	5-322
XP_046641037.1	PTHR21353:SF6	SUBFAMILY NOT NAMED	5.7e-06	26.5	158-254
XP_046641180.1	PTHR10984:SF36	ENDOPLASMIC RETICULUM-GOLGI INTERMEDIATE COMPARTMENT PROTEIN 1	7.7e-144	479.1	1-288
XP_046634651.1	PTHR24060:SF136	G_PROTEIN_RECEP_F3_4 DOMAIN-CONTAINING PROTEIN	0	1425.7	16-958
XP_046648820.1	PTHR22870:SF398	E3 UBIQUITIN-PROTEIN LIGASE HERC2	0	3365.0	472-4840
XP_046638575.1	PTHR21812	UNCHARACTERIZED	6.3e-52	178.1	4-228
XP_046644566.1	PTHR11524:SF16	60S RIBOSOMAL PROTEIN L7	8.5e-110	366.5	25-260
XP_046656801.1	PTHR22894:SF5	E3 UBIQUITIN-PROTEIN LIGASE RNF170	7.6e-74	248.7	31-238
XP_046647029.1	PTHR43462:SF1	ALANYL-TRNA EDITING PROTEIN AARSD1	7.7e-163	542.6	1-402
XP_046644253.1	PTHR45728:SF1	ACETYL-COA CARBOXYLASE 2	0	3819.6	114-2412
XP_046655797.1	PTHR23320:SF165	PROTEIN CBG27997	1.2e-16	61.6	4-188
XP_046638932.1	PTHR22552:SF24	RE35358P	0.00013	23.1	1208-1540
XP_046631429.1	PTHR11811:SF25	6-PHOSPHOGLUCONATE DEHYDROGENASE, DECARBOXYLATING	1.3e-259	862.3	17-494
XP_046652528.1	PTHR10218:SF85	GUANINE NUCLEOTIDE-BINDING PROTEIN SUBUNIT ALPHA-13	4.3e-138	460.8	13-363
XP_046643459.1	PTHR13402:SF13	PROTEIN TRANSPORT PROTEIN SEC16A	1.1e-168	564.5	10-1970
XP_046643615.1	PTHR13989:SF16	REPLICATION PROTEIN A 32 KDA SUBUNIT	1.1e-53	183.3	9-275
XP_046632516.1	PTHR24373	SLIT RELATED LEUCINE-RICH REPEAT NEURONAL PROTEIN	8.5e-71	239.5	31-534
XP_046652062.1	PTHR31435:SF9	PROTEIN NATD1	8.7e-28	97.3	27-112
XP_046637292.1	PTHR19282:SF252	TETRASPANIN	7.8e-63	212.4	14-215
XP_046655023.1	PTHR44826:SF8	SUBFAMILY NOT NAMED	6.5e-75	253.6	2-275
XP_046645421.1	PTHR41158	AGAP010294-PA	9.4e-48	163.9	37-225
XP_046635168.1	PTHR31553:SF1	NF-KAPPA-B ESSENTIAL MODULATOR	1.6e-85	288.5	2-385
XP_046638224.1	PTHR10926:SF17	CELL CYCLE CONTROL PROTEIN 50A	4.1e-85	286.4	6-365
XP_046638361.1	PTHR10174:SF224	RETINOL-BINDING PROTEIN PINTA	2.9e-167	556.2	1-314
XP_046650196.1	PTHR13235	SINGLE-STRAND SELECTIVE MONOFUNCTIONAL URACIL DNA GLYCOSYLASE	4.8e-108	361.1	28-295
XP_046646850.1	PTHR15360:SF4	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN	8.6e-104	347.5	41-622
