XP_046442701.1	PTHR12487:SF7	PROTEIN TEASHIRT-RELATED	0	1331.9	7-1250
XP_046454440.1	PTHR11866	G-PROTEIN COUPLED RECEPTOR FAMILY 1 MEMBER	1.9e-84	286.6	14-361
XP_046464581.1	PTHR10137:SF5	V-TYPE PROTON ATPASE SUBUNIT C 1	5.2e-192	641.1	1-380
XP_046446883.1	PTHR10380:SF239	CUTICULAR PROTEIN 47EF, ISOFORM C-RELATED	5.6e-35	124.5	42-150
XP_046450199.1	PTHR18884:SF83	AAA DOMAIN-CONTAINING PROTEIN-RELATED	9.2e-134	449.7	43-543
XP_046441010.1	PTHR11680:SF59	SERINE HYDROXYMETHYLTRANSFERASE, CYTOSOLIC	5.2e-240	799.7	27-485
XP_046436768.1	PTHR31622:SF1	TRANSMEMBRANE PROTEIN 218	7.1e-09	38.4	1-108
XP_046436768.1	PTHR31622	TRANSMEMBRANE PROTEIN 218	7.1e-09	38.4	1-108
XP_046452828.1	PTHR39953	RE54151P	1.4e-102	347.0	41-343
XP_046452828.1	PTHR39953:SF1	RE54151P	1.4e-102	347.0	41-343
XP_046441807.1	PTHR22802:SF421	MIP03875P	2.6e-32	115.2	9-164
XP_046436802.1	PTHR10887:SF495	HELICASE SENATAXIN-RELATED	2.3e-191	641.6	150-1731
XP_046446313.1	PTHR43157	PHOSPHATIDYLINOSITOL-GLYCAN BIOSYNTHESIS CLASS F PROTEIN-RELATED	2e-92	312.7	31-264
XP_046456086.1	PTHR11711:SF21	ADP-RIBOSYLATION FACTOR-LIKE PROTEIN 6	6.1e-70	237.3	1-185
XP_046441566.1	PTHR10627:SF69	PROTEIN BICAUDAL C	1e-160	539.8	249-1237
XP_046442422.1	PTHR11521:SF1	TROPONIN T, SKELETAL MUSCLE	2.5e-88	299.8	3-359
XP_046452461.1	PTHR11071:SF504	PEPTIDYL-PROLYL CIS-TRANS ISOMERASE	1.5e-11	47.0	361-504
XP_046456097.1	PTHR19957:SF212	T-SNARE DOMAIN-CONTAINING PROTEIN 1	2.7e-82	279.2	20-271
